	AAPL	Stock Price	Cash	Portfolio Value
2015-03-04	-100	124.761003	24787.200199999996	12311.099899999996
2015-03-05	0	122.693634	12517.836799999995	12517.836799999995
2015-03-06	100	122.87804299999999	230.0324999999957	12517.836799999995
2015-03-09	0	123.40216799999999	12570.249299999994	12570.249299999994
2015-03-10	0	120.84949099999999	12570.249299999994	12570.249299999994
2015-03-11	100	118.64622299999999	705.626999999995	12570.249299999994
2015-03-12	100	120.79125	705.626999999995	12784.751999999995
2015-03-13	100	119.95653300000001	705.626999999995	12701.280299999995
2015-03-16	100	121.27655	705.626999999995	12833.281999999996
2015-03-17	0	123.305109	13036.137899999994	13036.137899999994
2015-03-18	-100	124.693069	25505.444799999994	13036.137899999994
2015-03-19	0	123.751585	13130.286299999992	13130.286299999992
2015-03-20	100	122.198625	910.4237999999914	13130.286299999992
2015-03-23	0	123.47011	13257.434799999992	13257.434799999992
2015-03-24	0	122.965401	13257.434799999992	13257.434799999992
2015-03-25	100	119.752707	1282.1640999999909	13257.434799999992
2015-03-26	100	120.587424	1282.1640999999909	13340.90649999999
2015-03-27	100	119.62653200000001	1282.1640999999909	13244.817299999992
2015-03-30	0	122.65480900000001	13547.644999999993	13547.644999999993
2015-03-31	100	120.771841	1470.4608999999946	13547.644999999993
2015-04-01	100	120.59713300000001	1470.4608999999946	13530.174199999996
2015-04-02	100	121.635675	1470.4608999999946	13634.028399999996
2015-04-06	100	123.605993	1470.4608999999946	13831.060199999994
2015-04-07	0	122.305392	13701.000099999994	13701.000099999994
2015-04-08	0	121.90744199999999	13701.000099999994	13701.000099999994
2015-04-09	0	122.83921799999999	13701.000099999994	13701.000099999994
2015-04-10	-100	123.363343	26037.334399999992	13701.000099999992
2015-04-13	-100	123.12069299999999	26037.334399999992	13725.265099999993
2015-04-14	-100	122.586867	26037.334399999992	13778.647699999992
2015-04-15	-100	123.052751	26037.334399999992	13732.059299999992
2015-04-16	-100	122.46068400000001	26037.334399999992	13791.26599999999
2015-04-17	-100	121.08243300000001	26037.334399999992	13929.091099999992
2015-04-20	-100	123.848643	26037.334399999992	13652.470099999993
2015-04-21	0	123.17893400000001	13719.440999999992	13719.440999999992
2015-04-22	-100	124.83865300000001	26203.306299999993	13719.440999999992
2015-04-23	0	125.857786	13617.527699999993	13617.527699999993
2015-04-24	0	126.449853	13617.527699999993	13617.527699999993
2015-04-27	-100	128.750172	26492.544899999994	13617.527699999995
2015-04-28	0	126.72162	13820.382899999993	13820.382899999993
2015-04-29	-100	124.858069	26306.189799999993	13820.382899999993
2015-04-30	-100	121.470675	26306.189799999993	14159.122299999994
2015-05-01	-100	125.158953	26306.189799999993	13790.294499999993
2015-05-04	-100	124.916303	26306.189799999993	13814.559499999992
2015-05-05	-100	122.10156699999999	26306.189799999993	14096.033099999993
2015-05-06	0	121.334791	14172.710699999992	14172.710699999992
2015-05-07	100	122.085269	1964.1837999999934	14172.710699999992
2015-05-08	0	124.38545500000001	14402.729299999994	14402.729299999994
2015-05-11	0	123.118401	14402.729299999994	14402.729299999994
2015-05-12	100	122.679809	2134.748399999993	14402.729299999994
2015-05-13	0	122.81626000000001	14416.374399999995	14416.374399999995
2015-05-14	100	125.68173999999999	1848.200399999996	14416.374399999995
2015-05-15	100	125.50631000000001	1848.200399999996	14398.831399999997
2015-05-18	100	126.890318	1848.200399999996	14537.232199999995
2015-05-19	100	126.77336399999999	1848.200399999996	14525.536799999994
2015-05-20	100	126.763608	1848.200399999996	14524.561199999996
2015-05-21	100	128.059901	1848.200399999996	14654.190499999995
2015-05-22	0	129.180748	14766.275199999995	14766.275199999995
2015-05-26	100	126.33475700000001	2132.7994999999937	14766.275199999995
2015-05-27	100	128.69342	2132.7994999999937	15002.141499999994
2015-05-28	0	128.440015	14976.800999999992	14976.800999999992
2015-05-29	0	126.97803300000001	14976.800999999992	14976.800999999992
2015-06-01	0	127.23143799999998	14976.800999999992	14976.800999999992
2015-06-02	-100	126.666151	27643.41609999999	14976.800999999992
2015-06-03	0	126.82208500000002	14961.20759999999	14961.20759999999
2015-06-04	-100	126.081352	27569.34279999999	14961.207599999992
2015-06-05	-100	125.38934099999999	27569.34279999999	15030.408699999993
2015-06-08	0	124.560893	15113.253499999992	15113.253499999992
2015-06-09	100	124.19051999999999	2694.201499999992	15113.253499999992
2015-06-10	100	125.613522	2694.201499999992	15255.553699999993
2015-06-11	0	125.33086399999999	15227.28789999999	15227.28789999999
2015-06-12	0	123.94685600000001	15227.28789999999	15227.28789999999
2015-06-15	0	123.70319199999999	15227.28789999999	15227.28789999999
2015-06-16	0	124.365958	15227.28789999999	15227.28789999999
2015-06-17	100	124.07356599999999	2819.931299999991	15227.28789999999
2015-06-18	100	124.63886000000001	2819.931299999991	15283.817299999992
2015-06-19	100	123.39130300000001	2819.931299999991	15159.061599999992
2015-06-22	100	124.37570600000001	2819.931299999991	15257.501899999992
2015-06-23	100	123.810405	2819.931299999991	15200.971799999992
2015-06-24	0	124.86303400000001	15306.234699999992	15306.234699999992
2015-06-25	-100	124.26849399999999	27733.084099999993	15306.234699999994
2015-06-26	0	123.537503	15379.333799999993	15379.333799999993
2015-06-29	100	121.373768	3241.956999999993	15379.333799999993
2015-06-30	100	122.25095900000001	3241.956999999993	15467.052899999993
2015-07-01	0	123.39130300000001	15581.087299999994	15581.087299999994
2015-07-02	0	123.23536200000001	15581.087299999994	15581.087299999994
2015-07-06	0	122.80651200000001	15581.087299999994	15581.087299999994
2015-07-07	-100	122.50437099999999	27831.524399999995	15581.087299999996
2015-07-08	-100	119.463445	27831.524399999995	15885.179899999996
2015-07-09	-100	117.026808	27831.524399999995	16128.843599999995
2015-07-10	0	120.155449	15815.979499999994	15815.979499999994
2015-07-13	0	122.475132	15815.979499999994	15815.979499999994
2015-07-14	100	122.426397	3573.3397999999943	15815.979499999994
2015-07-15	100	123.605728	3573.3397999999943	15933.912599999994
2015-07-16	100	125.25289	3573.3397999999943	16098.628799999993
2015-07-17	100	126.33475700000001	3573.3397999999943	16206.815499999995
2015-07-20	0	128.722674	16445.607199999995	16445.607199999995
2015-07-21	-100	127.436122	29189.219399999994	16445.607199999995
2015-07-22	-100	122.046282	29189.219399999994	16984.591199999995
2015-07-23	-100	121.98780500000001	29189.219399999994	16990.438899999994
2015-07-24	-100	121.34452900000001	29189.219399999994	17054.766499999994
2015-07-27	-100	119.658373	29189.219399999994	17223.382099999995
2015-07-28	0	120.25291299999999	17163.928099999997	17163.928099999997
2015-07-29	-100	119.872798	29151.207899999998	17163.928099999997
2015-07-30	0	119.26851699999999	17224.3562	17224.3562
2015-07-31	-100	118.225637	29046.9199	17224.356200000002
2015-08-03	-100	115.438123	29046.9199	17503.107600000003
2015-08-04	-100	111.73443200000001	29046.9199	17873.4767
2015-08-05	0	112.475172	17799.4027	17799.4027
2015-08-06	0	112.719936	17799.4027	17799.4027
2015-08-07	100	113.101772	6489.225499999999	17799.4027
2015-08-10	100	117.213856	6489.225499999999	18210.611100000002
2015-08-11	100	111.114268	6489.225499999999	17600.652299999998
2015-08-12	100	112.827634	6489.225499999999	17771.988899999997
2015-08-13	100	112.739522	6489.225499999999	17763.1777
2015-08-14	100	113.53256299999998	6489.225499999999	17842.481799999994
2015-08-17	100	114.707448	6489.225499999999	17959.9703
2015-08-18	100	114.06126	6489.225499999999	17895.351499999997
2015-08-19	0	112.602453	17749.4708	17749.4708
2015-08-20	-100	110.291855	28778.6563	17749.4708
2015-08-21	-100	103.546087	28778.6563	18424.047599999998
2015-08-24	0	100.961352	18682.521099999998	18682.521099999998
2015-08-25	0	101.568368	18682.521099999998	18682.521099999998
2015-08-26	0	107.393819	18682.521099999998	18682.521099999998
2015-08-27	100	110.5562	7626.901099999997	18682.521099999998
2015-08-28	100	110.918457	7626.901099999997	18718.746799999997
2015-08-31	0	110.399553	18666.856399999997	18666.856399999997
2015-09-01	0	105.465056	18666.856399999997	18666.856399999997
2015-09-02	-100	109.988339	29665.690299999995	18666.856399999997
2015-09-03	-100	108.05958400000002	29665.690299999995	18859.73189999999
2015-09-04	0	106.982605	18967.429799999994	18967.429799999994
2015-09-08	0	109.958969	18967.429799999994	18967.429799999994
2015-09-09	0	107.84418899999999	18967.429799999994	18967.429799999994
2015-09-10	0	110.213528	18967.429799999994	18967.429799999994
2015-09-11	100	111.819197	7785.510099999994	18967.429799999994
2015-09-14	100	112.89616799999999	7785.510099999994	19075.126899999996
2015-09-15	0	113.84586399999999	19170.096499999992	19170.096499999992
2015-09-16	-100	113.973148	30567.411299999992	19170.096499999992
2015-09-17	0	111.535266	19413.884699999995	19413.884699999995
2015-09-18	100	111.07510400000001	8306.374299999994	19413.884699999995
2015-09-21	100	112.79826299999999	8306.374299999994	19586.200599999993
2015-09-22	100	111.026155	8306.374299999994	19408.989799999996
2015-09-23	100	111.926895	8306.374299999994	19499.063799999996
2015-09-24	0	112.59266000000001	19565.640299999995	19565.640299999995
2015-09-25	-100	112.30873000000001	30796.5133	19565.6403
2015-09-28	0	110.086252	19787.888099999996	19787.888099999996
2015-09-29	0	106.777002	19787.888099999996	19787.888099999996
2015-09-30	0	107.99105	19787.888099999996	19787.888099999996
2015-10-01	0	107.286121	19787.888099999996	19787.888099999996
2015-10-02	0	108.06936999999999	19787.888099999996	19787.888099999996
2015-10-05	0	108.460998	19787.888099999996	19787.888099999996
2015-10-06	-100	108.979902	30685.878299999997	19787.888099999996
2015-10-07	-100	108.460998	30685.878299999997	19839.778499999997
2015-10-08	0	107.20779399999999	19965.098899999997	19965.098899999997
2015-10-09	0	109.772951	19965.098899999997	19965.098899999997
2015-10-12	100	109.26383200000001	9038.715699999997	19965.098899999997
2015-10-13	0	109.44985700000001	19983.701399999998	19983.701399999998
2015-10-14	100	107.90293	9193.408399999998	19983.701399999998
2015-10-15	0	109.51839199999999	20145.247599999995	20145.247599999995
2015-10-16	0	108.715557	20145.247599999995	20145.247599999995
2015-10-19	0	109.391116	20145.247599999995	20145.247599999995
2015-10-20	-100	111.388405	31284.088099999994	20145.247599999995
2015-10-21	0	111.37862	20146.226099999993	20146.226099999993
2015-10-22	100	113.08219299999999	8838.006799999994	20146.226099999993
2015-10-23	100	116.587254	8838.006799999994	20496.73219999999
2015-10-26	100	112.866798	8838.006799999994	20124.686599999994
2015-10-27	100	112.152083	8838.006799999994	20053.215099999994
2015-10-28	0	116.773271	20515.33389999999	20515.33389999999
2015-10-29	100	118.006897	8714.644199999992	20515.33389999999
2015-10-30	100	116.99846000000001	8714.644199999992	20414.490199999993
2015-11-02	100	118.64329199999999	8714.644199999992	20578.973399999988
2015-11-03	0	120.004194	20715.063599999994	20715.063599999994
2015-11-04	0	119.446126	20715.063599999994	20715.063599999994
2015-11-05	100	118.895499	8825.513699999994	20715.063599999994
2015-11-06	0	119.03315400000001	20728.829099999995	20728.829099999995
2015-11-09	-100	118.55136	32583.965099999994	20728.829099999995
2015-11-10	-100	114.81497900000001	32583.965099999994	21102.467199999992
2015-11-11	-100	114.16603300000001	32583.965099999994	21167.36179999999
2015-11-12	0	113.78256299999998	21205.708799999997	21205.708799999997
2015-11-13	100	110.459148	10159.793999999996	21205.708799999997
2015-11-16	100	112.268345	10159.793999999996	21386.628499999995
2015-11-17	100	111.786551	10159.793999999996	21338.449099999998
2015-11-18	100	115.326277	10159.793999999996	21692.4217
2015-11-19	100	116.79132800000001	10159.793999999996	21838.926799999997
2015-11-20	100	117.302627	10159.793999999996	21890.056699999994
2015-11-23	100	115.778574	10159.793999999996	21737.651399999995
2015-11-24	0	116.88965300000001	21848.759299999998	21848.759299999998
2015-11-25	0	116.05388500000001	21848.759299999998	21848.759299999998
2015-11-27	-100	115.83756699999999	33432.515999999996	21848.759299999998
2015-11-30	-100	116.319369	33432.515999999996	21800.579099999995
2015-12-01	0	115.37543500000001	21894.972499999996	21894.972499999996
2015-12-02	-100	114.33318500000001	33328.291	21894.972499999996
2015-12-03	0	113.27126499999999	22001.1645	22001.1645
2015-12-04	0	117.037143	22001.1645	22001.1645
