	GOOG	Stock Price	Cash	Portfolio Value
2015-04-30	100	537.340027	10642.790399999976	64376.79309999997
2015-05-01	100	537.900024	10642.790399999976	64432.79279999998
2015-05-04	0	540.780029	64720.793299999976	64720.793299999976
2015-05-05	-100	530.799988	117800.79209999998	64720.793299999976
2015-05-06	-100	524.219971	117800.79209999998	65378.79499999998
2015-05-07	0	530.700012	64730.79089999998	64730.79089999998
2015-05-08	0	538.219971	64730.79089999998	64730.79089999998
2015-05-11	0	535.700012	64730.79089999998	64730.79089999998
2015-05-12	0	529.039978	64730.79089999998	64730.79089999998
2015-05-13	0	529.619995	64730.79089999998	64730.79089999998
2015-05-14	0	538.400024	64730.79089999998	64730.79089999998
2015-05-15	-100	533.849976	118115.78849999997	64730.79089999997
2015-05-18	0	532.299988	64885.789699999965	64885.789699999965
2015-05-19	100	537.3599849999999	11149.79119999997	64885.789699999965
2015-05-20	0	539.27002	65076.79319999998	65076.79319999998
2015-05-21	-100	542.51001	119327.79419999997	65076.79319999998
2015-05-22	0	540.1099849999999	65316.79569999998	65316.79569999998
2015-05-26	100	532.320007	12084.794999999976	65316.79569999998
2015-05-27	100	539.789978	12084.794999999976	66063.79279999998
2015-05-28	0	539.780029	66062.79789999998	66062.79789999998
2015-05-29	0	532.1099849999999	66062.79789999998	66062.79789999998
2015-06-01	100	533.98999	12663.798899999972	66062.79789999998
2015-06-02	0	539.179993	66581.79819999996	66581.79819999996
2015-06-03	-100	540.3099980000001	120612.79799999997	66581.79819999996
2015-06-04	0	536.700012	66942.79679999997	66942.79679999997
2015-06-05	-100	533.330017	120275.79849999998	66942.79679999998
2015-06-08	-100	526.830017	120275.79849999998	67592.79679999998
2015-06-09	0	526.6900019999999	67606.79829999998	67606.79829999998
2015-06-10	-100	536.6900019999999	121275.79849999998	67606.79829999998
2015-06-11	-100	534.6099849999999	121275.79849999998	67814.79999999999
2015-06-12	-100	532.330017	121275.79849999998	68042.79679999998
2015-06-15	-100	527.200012	121275.79849999998	68555.79729999998
2015-06-16	0	528.150024	68460.79609999998	68460.79609999998
2015-06-17	0	529.26001	68460.79609999998	68460.79609999998
2015-06-18	0	536.72998	68460.79609999998	68460.79609999998
2015-06-19	0	536.6900019999999	68460.79609999998	68460.79609999998
2015-06-22	100	538.1900019999999	14641.795899999983	68460.79609999998
2015-06-23	0	540.47998	68689.79389999998	68689.79389999998
2015-06-24	-100	537.840027	122473.79659999997	68689.79389999998
2015-06-25	-100	535.22998	122473.79659999997	68950.79859999998
2015-06-26	0	531.6900019999999	69304.79639999998	69304.79639999998
2015-06-29	100	521.52002	17152.79439999997	69304.79639999998
2015-06-30	100	520.51001	17152.79439999997	69203.79539999997
2015-07-01	100	521.840027	17152.79439999997	69336.79709999997
2015-07-02	100	523.400024	17152.79439999997	69492.79679999998
2015-07-06	100	522.8599849999999	17152.79439999997	69438.79289999997
